cod_departamento,departamento,cod_candidato,candidato,partido,votos
13,CORDOBA,996,No Marcados,Sin partido / Voto especial,9623
13,CORDOBA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,8240
13,CORDOBA,997,Votos Nulos,Sin partido / Voto especial,4045
13,CORDOBA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,2908
13,CORDOBA,998,Votos en Blanco,Sin partido / Voto especial,2028
13,CORDOBA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,1567
13,CORDOBA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,1119
13,CORDOBA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,507
13,CORDOBA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",452
13,CORDOBA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,330
13,CORDOBA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,96
13,CORDOBA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
13,CORDOBA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
15,CUNDINAMARCA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,724462
15,CUNDINAMARCA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,599261
15,CUNDINAMARCA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,123186
15,CUNDINAMARCA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,71769
15,CUNDINAMARCA,996,No Marcados,Sin partido / Voto especial,29914
15,CUNDINAMARCA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,26883
15,CUNDINAMARCA,997,Votos Nulos,Sin partido / Voto especial,22426
15,CUNDINAMARCA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,15501
15,CUNDINAMARCA,998,Votos en Blanco,Sin partido / Voto especial,3627
15,CUNDINAMARCA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,2906
15,CUNDINAMARCA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,2350
15,CUNDINAMARCA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",1397
15,CUNDINAMARCA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,900
15,CUNDINAMARCA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,311
15,CUNDINAMARCA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
15,CUNDINAMARCA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
16,BOGOTA D.C.,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1705455
16,BOGOTA D.C.,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1543282
16,BOGOTA D.C.,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,372210
