cod_departamento,departamento,cod_municipio,municipio,cod_candidato,candidato,partido,votos
01,ANTIOQUIA,019,ANDES,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",17
01,ANTIOQUIA,019,ANDES,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,13
01,ANTIOQUIA,019,ANDES,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,3
01,ANTIOQUIA,019,ANDES,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,019,ANDES,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,022,ANGELOPOLIS,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1619
01,ANTIOQUIA,022,ANGELOPOLIS,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,544
01,ANTIOQUIA,022,ANGELOPOLIS,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,410
01,ANTIOQUIA,022,ANGELOPOLIS,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,121
01,ANTIOQUIA,022,ANGELOPOLIS,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,85
01,ANTIOQUIA,022,ANGELOPOLIS,996,No Marcados,Sin partido / Voto especial,65
01,ANTIOQUIA,022,ANGELOPOLIS,997,Votos Nulos,Sin partido / Voto especial,39
01,ANTIOQUIA,022,ANGELOPOLIS,998,Votos en Blanco,Sin partido / Voto especial,21
01,ANTIOQUIA,022,ANGELOPOLIS,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,19
01,ANTIOQUIA,022,ANGELOPOLIS,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,7
01,ANTIOQUIA,022,ANGELOPOLIS,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",6
01,ANTIOQUIA,022,ANGELOPOLIS,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,5
01,ANTIOQUIA,022,ANGELOPOLIS,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,4
01,ANTIOQUIA,022,ANGELOPOLIS,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,022,ANGELOPOLIS,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,0
01,ANTIOQUIA,022,ANGELOPOLIS,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,025,ANGOSTURA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1816
01,ANTIOQUIA,025,ANGOSTURA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,600
01,ANTIOQUIA,025,ANGOSTURA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,559
